time,entry_name,entry_user,current_points,maximum,round_score,rank,percentile
2024-03-22 18:00:00,EEQESKL greater than 1,erinevoss,190,1590,190,1,99.3
2024-03-22 18:00:00,¯\_(ツ)_/¯,JoshKep,190,1890,190,1,99.3
2024-03-22 18:00:00,Overshoot don't Collapse,ESPNFAN0275865701,180,1860,180,3,96.5
2024-03-22 18:00:00,Rebounds over Rework,ESPNFAN1522828408,180,1800,180,3,96.5
2024-03-22 18:00:00,Erin B.,ebreezy06,180,1720,180,3,96.5
2024-03-22 18:00:00,Dan's Picks,ESPNFAN3409828595,180,1840,180,3,96.5
2024-03-22 18:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,170,1870,170,7,88.7
2024-03-22 18:00:00,Stella MM Output v38,espnfan39396853,160,1780,160,8,74.7
2024-03-22 18:00:00,Kula Than Your Bracket,espnfan1467754849,160,1760,160,8,74.7
2024-03-22 18:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,160,1820,160,8,74.7
2024-03-22 18:00:00,Rain dance,BDDJMerritt15,160,1560,160,8,74.7
2024-03-22 18:00:00,Not the right outliers,Essigcandy,160,1780,160,8,74.7
2024-03-22 18:00:00,Brennan's Picks,brennan_oc43,150,1770,150,13,53.4
2024-03-22 18:00:00,Rio's puppy madness,RW15371501,150,1370,150,13,53.4
2024-03-22 18:00:00,The Algorithm,espnfan7035969934,150,1650,150,13,53.4
2024-03-22 18:00:00,Rick's Picks,ESPNFAN9352171647,150,1710,150,13,53.4
2024-03-22 18:00:00,Donna's pick #1,ESPNFAN5573415521,140,1520,140,17,37.3
2024-03-22 18:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,140,1660,140,17,37.3
2024-03-22 18:00:00,NGB (next gen bracket),ESPNFAN8470559628,140,1660,140,17,37.3
2024-03-22 18:00:00,Guided Coin Toss,01100001 01111010,140,1440,140,17,37.3
2024-03-22 18:00:00,Connecticut=Championships,espnfan28366074,140,1820,140,17,37.3
2024-03-22 18:00:00,a truly STELLAr bracket,czoldak,140,1660,140,17,37.3
2024-03-22 18:00:00,Will’s Bracket,w11k1,140,1780,140,17,37.3
2024-03-22 18:00:00,The Anilyst's Picks,The Anilyst,130,1730,130,24,24.9
2024-03-22 18:00:00,Coolest Mascots,ESPNFAN0082047637,120,1680,120,25,16.5
2024-03-22 18:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,26,0
