time,entry_name,entry_user,current_points,maximum,r32,r64,rank,percentile
2024-03-23 18:00:00,¯\_(ツ)_/¯,JoshKep,300,1720,40,260,1,99.9
2024-03-23 18:00:00,Overshoot don't Collapse,ESPNFAN0275865701,280,1820,40,240,2,98.2
2024-03-23 18:00:00,Rebounds over Rework,ESPNFAN1522828408,280,1740,40,240,2,98.2
2024-03-23 18:00:00,Dan's Picks,ESPNFAN3409828595,270,1770,40,230,4,94.8
2024-03-23 18:00:00,Not the right outliers,Essigcandy,270,1710,40,230,4,94.8
2024-03-23 18:00:00,EEQESKL greater than 1,erinevoss,270,1490,20,250,4,94.8
2024-03-23 18:00:00,Brennan's Picks,brennan_oc43,260,1720,40,220,7,88.7
2024-03-23 18:00:00,NGB (next gen bracket),ESPNFAN8470559628,250,1590,40,210,8,79.3
2024-03-23 18:00:00,Rain dance,BDDJMerritt15,250,1470,20,230,8,79.3
2024-03-23 18:00:00,Rio's puppy madness,RW15371501,250,1370,0,250,8,79.3
2024-03-23 18:00:00,Rick's Picks,ESPNFAN9352171647,240,1640,40,200,11,66.8
2024-03-23 18:00:00,Stella MM Output v38,espnfan39396853,240,1520,20,220,11,66.8
2024-03-23 18:00:00,Kula Than Your Bracket,espnfan1467754849,240,1660,20,220,11,66.8
2024-03-23 18:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,240,1740,20,220,11,66.8
2024-03-23 18:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,240,1620,20,220,11,66.8
2024-03-23 18:00:00,Connecticut=Championships,espnfan28366074,230,1770,20,210,16,53.4
2024-03-23 18:00:00,Erin B.,ebreezy06,230,1450,0,230,16,53.4
2024-03-23 18:00:00,Donna's pick #1,ESPNFAN5573415521,220,1440,20,200,18,38.2
2024-03-23 18:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,220,1600,20,200,18,38.2
2024-03-23 18:00:00,Will’s Bracket,w11k1,220,1600,0,220,18,38.2
2024-03-23 18:00:00,The Algorithm,espnfan7035969934,210,1450,0,210,21,28.5
2024-03-23 18:00:00,a truly STELLAr bracket,czoldak,210,1570,0,210,21,28.5
2024-03-23 18:00:00,Guided Coin Toss,01100001 01111010,200,1260,20,180,23,21.4
2024-03-23 18:00:00,The Anilyst's Picks,The Anilyst,180,920,20,160,24,13
2024-03-23 18:00:00,Coolest Mascots,ESPNFAN0082047637,150,890,0,150,25,7.6
2024-03-23 18:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,26,0
