time,entry_name,entry_user,current_points,maximum,r8,r16,r32,r64,rank,percentile
2024-04-08 22:00:00,Rebounds over Rework,ESPNFAN1522828408,1300,1620,0,320,240,240,1,99.9
2024-04-08 22:00:00,Overshoot don't Collapse,ESPNFAN0275865701,1180,1500,0,320,160,160,2,99.8
2024-04-08 22:00:00,Dan's Picks,ESPNFAN3409828595,1110,1430,0,320,160,160,3,99
2024-04-08 22:00:00,¯\_(ツ)_/¯,JoshKep,1060,1380,0,320,160,120,4,97
2024-04-08 22:00:00,Erin B.,ebreezy06,1050,1370,0,320,160,160,5,96.5
2024-04-08 22:00:00,Brennan's Picks,brennan_oc43,1040,1360,0,320,160,80,6,95.8
2024-04-08 22:00:00,Not the right outliers,Essigcandy,870,870,0,160,160,80,7,81.6
2024-04-08 22:00:00,Connecticut=Championships,espnfan28366074,850,1170,0,160,80,120,8,79.3
2024-04-08 22:00:00,Rick's Picks,ESPNFAN9352171647,840,1160,0,160,80,160,9,78.1
2024-04-08 22:00:00,EEQESKL greater than 1,erinevoss,830,1150,0,160,80,120,10,76.7
2024-04-08 22:00:00,Rain dance,BDDJMerritt15,810,1130,0,160,80,120,11,73.7
2024-04-08 22:00:00,Donna's pick #1,ESPNFAN5573415521,800,1120,0,160,160,80,12,72.2
2024-04-08 22:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,780,780,0,160,80,120,13,68.9
2024-04-08 22:00:00,The Algorithm,espnfan7035969934,770,770,0,160,80,160,14,67.3
2024-04-08 22:00:00,a truly STELLAr bracket,czoldak,730,1050,0,160,80,120,15,60.7
2024-04-08 22:00:00,Stella MM Output v38,espnfan39396853,720,720,0,160,80,80,16,59
2024-04-08 22:00:00,Kula Than Your Bracket,espnfan1467754849,680,680,0,0,160,120,17,53.1
2024-04-08 22:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,660,660,0,0,80,160,18,50.3
2024-04-08 22:00:00,Rio's puppy madness,RW15371501,630,630,0,0,0,200,19,46.3
2024-04-08 22:00:00,Will’s Bracket,w11k1,460,460,0,0,0,80,20,22.5
2024-04-08 22:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,420,420,0,0,0,80,21,17.9
2024-04-08 22:00:00,The Anilyst's Picks,The Anilyst,400,400,0,0,0,80,22,16
2024-04-08 22:00:00,Guided Coin Toss,01100001 01111010,380,380,0,0,0,40,23,14.3
2024-04-08 22:00:00,NGB (next gen bracket),ESPNFAN8470559628,290,290,0,0,0,0,24,9.3
2024-04-08 22:00:00,Coolest Mascots,ESPNFAN0082047637,210,210,0,0,0,0,25,6.2
2024-04-08 22:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,0,0,26,0
