time,entry_name,entry_user,current_points,maximum,r16,r32,r64,rank,percentile
2024-04-10 08:00:00,¯\_(ツ)_/¯,JoshKep,1380,320,320,160,120,1,98.1
2024-04-10 08:00:00,Rebounds over Rework,ESPNFAN1522828408,1300,0,320,240,240,2,95.6
2024-04-10 08:00:00,Overshoot don't Collapse,ESPNFAN0275865701,1180,0,320,160,160,3,88.5
2024-04-10 08:00:00,Connecticut=Championships,espnfan28366074,1170,320,160,80,120,4,88
2024-04-10 08:00:00,Rick's Picks,ESPNFAN9352171647,1160,320,160,80,160,5,87.4
2024-04-10 08:00:00,EEQESKL greater than 1,erinevoss,1150,320,160,80,120,6,86.7
2024-04-10 08:00:00,Rain dance,BDDJMerritt15,1130,320,160,80,120,7,85.3
2024-04-10 08:00:00,Donna's pick #1,ESPNFAN5573415521,1120,320,160,160,80,8,84.6
2024-04-10 08:00:00,Dan's Picks,ESPNFAN3409828595,1110,0,320,160,160,9,83.8
2024-04-10 08:00:00,a truly STELLAr bracket,czoldak,1050,320,160,80,120,10,78.9
2024-04-10 08:00:00,Erin B.,ebreezy06,1050,0,320,160,160,10,78.9
2024-04-10 08:00:00,Brennan's Picks,brennan_oc43,1040,0,320,160,80,12,78.1
2024-04-10 08:00:00,Not the right outliers,Essigcandy,870,0,160,160,80,13,69
2024-04-10 08:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,780,0,160,80,120,14,61.8
2024-04-10 08:00:00,The Algorithm,espnfan7035969934,770,0,160,80,160,15,60.9
2024-04-10 08:00:00,Stella MM Output v38,espnfan39396853,720,0,160,80,80,16,55.6
2024-04-10 08:00:00,Kula Than Your Bracket,espnfan1467754849,680,0,0,160,120,17,51.4
2024-04-10 08:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,660,0,0,80,160,18,49.1
2024-04-10 08:00:00,Rio's puppy madness,RW15371501,630,0,0,0,200,19,45.7
2024-04-10 08:00:00,Will’s Bracket,w11k1,460,0,0,0,80,20,22.5
2024-04-10 08:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,420,0,0,0,80,21,17.9
2024-04-10 08:00:00,The Anilyst's Picks,The Anilyst,400,0,0,0,80,22,16
2024-04-10 08:00:00,Guided Coin Toss,01100001 01111010,380,0,0,0,40,23,14.3
2024-04-10 08:00:00,NGB (next gen bracket),ESPNFAN8470559628,290,0,0,0,0,24,9.3
2024-04-10 08:00:00,Coolest Mascots,ESPNFAN0082047637,210,0,0,0,0,25,6.2
2024-04-10 08:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,0,26,0
